timestamp,close,realized_equity,floating_pnl,equity_with_floating,has_open_trade
2025-03-15 16:45:00,84362.91,10000.0,0.0,10000.0,0
2025-03-15 17:00:00,84415.74,10000.0,0.0,10000.0,0
2025-03-15 17:15:00,84494.39,10000.0,0.0,10000.0,0
2025-03-15 17:30:00,84434.33,10000.0,0.0,10000.0,0
2025-03-15 17:45:00,84422.25,10000.0,0.0,10000.0,0
2025-03-15 18:00:00,84455.14,10000.0,0.0,10000.0,0
2025-03-15 18:15:00,84354.04,10000.0,0.0,10000.0,0
2025-03-15 18:30:00,84196.04,10000.0,0.0,10000.0,0
2025-03-15 18:45:00,84223.29,10000.0,0.0,10000.0,0
2025-03-15 19:00:00,84207.55,10000.0,0.0,10000.0,0
2025-03-15 19:15:00,84225.3,10000.0,0.0,10000.0,0
2025-03-15 19:30:00,84277.48,10000.0,0.0,10000.0,0
2025-03-15 19:45:00,84299.98,10000.0,0.0,10000.0,0
2025-03-15 20:00:00,84405.33,10000.0,0.0,10000.0,0
2025-03-15 20:15:00,84424.0,10000.0,0.0,10000.0,0
2025-03-15 20:30:00,84381.75,10000.0,0.0,10000.0,0
2025-03-15 20:45:00,84389.31,10000.0,0.0,10000.0,0
2025-03-15 21:00:00,84272.72,10000.0,0.0,10000.0,0
2025-03-15 21:15:00,84384.46,10000.0,0.0,10000.0,0
2025-03-15 21:30:00,84417.46,10000.0,0.0,10000.0,0
2025-03-15 21:45:00,84388.73,10000.0,0.0,10000.0,0
2025-03-15 22:00:00,84367.13,10000.0,0.0,10000.0,0
2025-03-15 22:15:00,84409.49,10000.0,0.0,10000.0,0
2025-03-15 22:30:00,84326.81,10000.0,0.0,10000.0,0
2025-03-15 22:45:00,84382.65,10000.0,0.0,10000.0,0
2025-03-15 23:00:00,84342.9,10000.0,0.0,10000.0,0
2025-03-15 23:15:00,84301.89,10000.0,0.0,10000.0,0
2025-03-15 23:30:00,84357.0,10000.0,0.0,10000.0,0
2025-03-15 23:45:00,84338.44,10000.0,0.0,10000.0,0
2025-03-16 00:00:00,84332.67,10000.0,0.0,10000.0,0
2025-03-16 00:15:00,84273.0,10000.0,0.0,10000.0,0
2025-03-16 00:30:00,84296.2,10000.0,0.0,10000.0,0
2025-03-16 00:45:00,84253.52,10000.0,0.0,10000.0,0
2025-03-16 01:00:00,84166.24,10000.0,0.0,10000.0,0
2025-03-16 01:15:00,84184.45,10000.0,0.0,10000.0,0
2025-03-16 01:30:00,84007.38,10000.0,0.0,10000.0,0
2025-03-16 01:45:00,83869.31,10000.0,0.0,10000.0,0
2025-03-16 02:00:00,83808.85,10000.0,0.0,10000.0,0
2025-03-16 02:15:00,83951.99,10000.0,0.0,10000.0,0
2025-03-16 02:30:00,84045.29,10000.0,0.0,10000.0,0
2025-03-16 02:45:00,83966.05,10000.0,0.0,10000.0,0
2025-03-16 03:00:00,84019.99,10000.0,0.0,10000.0,0
2025-03-16 03:15:00,84120.0,10000.0,0.0,10000.0,0
